Company Name,,Datum,Detail,Launch Date,Country,Launcher,Location,Status Mission,Status Rocket,Cost of the  mission,Index,
SpaceX,,"Fri Aug 07, 2020 05:12 UTC",Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,, USA,LC-39A,"LC-39A, Kennedy Space Center, Florida, USA",Success,StatusActive,50,0,
CASC,,"Thu Aug 06, 2020 04:01 UTC",Long March 2D | Gaofen-9 04 & Q-SAT,, China,Site 9401 (SLS-2),"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,StatusActive,29.75,1,
SpaceX,,"Tue Aug 04, 2020 23:57 UTC",Starship Prototype | 150 Meter Hop,, USA,Pad A,"Pad A, Boca Chica, Texas, USA",Success,StatusActive,,2,
Roscosmos,,"Thu Jul 30, 2020 21:25 UTC",Proton-M/Briz-M | Ekspress-80 & Ekspress-103,, Kazakhstan,Site 200/39,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Success,StatusActive,65,3,
ULA,,"Thu Jul 30, 2020 11:50 UTC",Atlas V 541 | Perseverance,, USA,SLC-41,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,StatusActive,145,4,
CASC,,"Sat Jul 25, 2020 03:13 UTC","Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",, China,LC-9,"LC-9, Taiyuan Satellite Launch Center, China",Success,StatusActive,64.68,5,
Roscosmos,,"Thu Jul 23, 2020 14:26 UTC",Soyuz 2.1a | Progress MS-15,, Kazakhstan,Site 31/6,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,StatusActive,48.5,6,
CASC,,"Thu Jul 23, 2020 04:41 UTC",Long March 5 | Tianwen-1,, China,LC-101,"LC-101, Wenchang Satellite Launch Center, China",Success,StatusActive,,7,
SpaceX,,"Mon Jul 20, 2020 21:30 UTC",Falcon 9 Block 5 | ANASIS-II,, USA,SLC-40,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,StatusActive,50,8,
JAXA,,"Sun Jul 19, 2020 21:58 UTC",H-IIA 202 | Hope Mars Mission,, Japan,LA-Y1,"LA-Y1, Tanegashima Space Center, Japan",Success,StatusActive,90,9,
Northrop,,"Wed Jul 15, 2020 13:46 UTC",Minotaur IV | NROL-129,, USA,LP-0B,"LP-0B, Wallops Flight Facility, Virginia, USA",Success,StatusActive,46,10,
ExPace,,"Fri Jul 10, 2020 04:17 UTC","Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",, China,Site 95,"Site 95, Jiuquan Satellite Launch Center, China",Failure,StatusActive,28.3,11,
CASC,,"Thu Jul 09, 2020 12:11 UTC",Long March 3B/E | Apstar-6D,, China,LC-3,"LC-3, Xichang Satellite Launch Center, China",Success,StatusActive,29.15,12,
IAI,,"Mon Jul 06, 2020 01:00 UTC",Shavit-2 | Ofek-16,, Israel,Pad 1,"Pad 1, Palmachim Airbase, Israel",Success,StatusActive,,13,
CASC,,"Sat Jul 04, 2020 23:44 UTC",Long March 2D | Shiyan-6 02,, China,Site 9401 (SLS-2),"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,StatusActive,29.75,14,
Rocket Lab,,"Sat Jul 04, 2020 21:19 UTC",Electron/Curie | Pics Or It Didn??¦t Happen,, New Zealand,Rocket Lab LC-1A,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Failure,StatusActive,7.5,15,
CASC,,"Fri Jul 03, 2020 03:10 UTC",Long March 4B | Gaofen Duomo & BY-02,, China,LC-9,"LC-9, Taiyuan Satellite Launch Center, China",Success,StatusActive,64.68,16,
SpaceX,,"Tue Jun 30, 2020 20:10 UTC",Falcon 9 Block 5 | GPS III SV03,, USA,SLC-40,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,StatusActive,50,17,
CASC,,"Tue Jun 23, 2020 01:43 UTC",Long March 3B/E | Beidou-3 G3,, China,LC-2,"LC-2, Xichang Satellite Launch Center, China",Success,StatusActive,29.15,18,
CASC,,"Wed Jun 17, 2020 07:19 UTC","Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",, China,Site 9401 (SLS-2),"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,StatusActive,29.75,19,
SpaceX,,"Sat Jun 13, 2020 09:21 UTC",Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,, USA,SLC-40,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,StatusActive,50,20,
Rocket Lab,,"Sat Jun 13, 2020 05:12 UTC",Electron/Curie | Don't stop me now!,, New Zealand,Rocket Lab LC-1A,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,StatusActive,7.5,21,
CASC,,"Wed Jun 10, 2020 18:31 UTC",Long March 2C | Haiyang-1D,, China,LC-9,"LC-9, Taiyuan Satellite Launch Center, China",Success,StatusActive,30.8,22,
SpaceX,,"Thu Jun 04, 2020 01:25 UTC",Falcon 9 Block 5 | Starlink V1 L7,, USA,SLC-40,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,StatusActive,50,23,
CASC,,"Sun May 31, 2020 08:53 UTC",Long March 2D | Gaofen-9-02 & HEAD-4,, China,Site 9401 (SLS-2),"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,StatusActive,29.75,24,
SpaceX,,"Sat May 30, 2020 19:22 UTC",Falcon 9 Block 5 | SpaceX Demo-2,, USA,LC-39A,"LC-39A, Kennedy Space Center, Florida, USA",Success,StatusActive,50,25,
CASC,,"Fri May 29, 2020 20:13 UTC",Long March 11 | XJS-G and XJS-H,, China,Xichang Satellite Launch Center,"Xichang Satellite Launch Center, China",Success,StatusActive,5.3,26,
Virgin Orbit,,"Mon May 25, 2020 19:50 UTC",LauncherOne | Demo Flight,, USA,Cosmic Girl,"Cosmic Girl, Mojave Air and Space Port, California, USA",Failure,StatusActive,12,27,
VKS RF,,"Fri May 22, 2020 07:31 UTC",Soyuz 2.1b/Fregat-M | Cosmos 2546,, Russia,Site 43/4,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,StatusActive,,28,
MHI,,"Wed May 20, 2020 17:31 UTC",H-IIB | HTV-9,, Japan,LA-Y2,"LA-Y2, Tanegashima Space Center, Japan",Success,StatusRetired,112.5,29,
